0,1
0,26
0,52
1,0
1,26
1,52
1,53
1,56
2,66
3,69
4,17
4,50
5,6
5,8
5,61
6,5
6,8
6,61
7,8
7,68
8,5
8,6
8,7
8,54
8,61
8,68
9,48
9,83
11,44
11,80
12,25
12,53
12,65
13,60
14,84
15,62
16,17
16,21
16,50
17,4
17,16
17,20
17,21
17,50
17,58
17,70
20,17
21,16
21,17
21,50
25,12
25,52
25,53
25,56
25,65
26,0
26,1
26,52
27,41
27,42
27,43
27,52
27,55
27,57
27,61
27,62
27,63
27,64
27,66
27,68
27,72
27,73
27,79
28,52
28,57
28,58
28,63
28,64
28,67
29,31
29,55
29,77
30,45
30,48
31,29
31,55
31,77
32,55
32,77
33,78
34,35
34,68
35,34
35,68
36,69
37,65
37,76
37,106
37,119
38,42
38,43
38,57
38,62
38,63
38,71
38,73
39,61
40,102
41,27
41,42
41,123
42,27
42,38
42,41
42,123
43,27
43,38
44,11
44,65
44,129
45,30
46,124
47,49
47,82
47,101
48,9
48,30
48,107
49,47
49,81
49,101
50,4
50,16
50,17
50,21
50,59
50,101
50,110
50,112
50,119
51,52
51,105
51,111
52,0
52,1
52,25
52,26
52,27
52,28
52,51
52,53
52,72
53,1
53,12
53,25
53,52
53,65
53,72
53,106
53,117
53,120
53,128
54,8
54,114
54,121
55,27
55,29
55,31
55,32
55,56
55,72
55,77
55,107
56,1
56,25
56,55
56,64
56,64
56,77
56,113
56,119
56,124
56,128
57,27
57,28
57,38
57,71
57,79
58,17
58,28
58,100
58,125
59,50
59,76
59,104
60,13
61,5
61,6
61,8
61,27
61,39
62,15
62,27
62,38
62,73
62,115
62,127
63,27
63,28
63,38
64,27
64,28
64,56
64,56
64,67
64,108
64,118
65,12
65,25
65,37
65,44
65,53
65,106
66,2
66,27
66,116
67,28
67,64
67,108
68,7
68,8
68,27
68,34
68,35
69,3
69,36
70,17
71,38
71,57
71,79
72,27
72,52
72,53
72,55
72,116
73,27
73,38
73,62
74,128
76,37
76,59
76,106
77,29
77,31
77,32
77,55
77,56
78,33
78,106
78,109
79,27
79,57
79,71
80,11
81,49
81,82
81,101
82,47
82,81
82,101
83,9
84,14
85,126
86,103
100,58
101,47
101,49
101,50
101,81
101,82
102,40
103,86
104,59
104,119
105,51
105,111
106,37
106,53
106,65
106,76
106,78
107,48
107,55
108,64
108,67
109,78
110,50
111,51
111,105
112,50
113,56
114,54
114,123
115,62
115,127
116,66
116,72
117,53
118,64
118,124
119,37
119,50
119,56
119,104
119,124
120,53
121,54
123,41
123,42
123,114
124,46
124,56
124,118
124,119
125,58
126,85
127,62
127,115
128,53
128,56
128,74
129,44
